SHOTS TIMES IMP TDIV TDIV_ERR NDIV NDIV_ERR QPAR QPAR_ERR PSEP PSEP_ERR PDIV PDIV_ERR TSEP NSEP NSEP_ERR FM FM_ERR CNE CNE_ERR CN CN_ERR CAR CAR_ERR CNEF CNEF_ERR CNF CNF_ERR CARF CARF_ERR SHUNT SHUNT_ERR SHUNT1 SHUNT1_ERR LINT PSEPRT PSEPRT_ERR HFAC HFAC_ERR
39487 5.00000 5.00000 40.0000 10.0000 2.61991e+19 4.26509e+18 4.78071e+07 1.87520e+07 9.00000 1.80000 0.926592 0.0104207 122.700 2.58810e+19 7.76430e+18 0.660009 0.279241 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 31.9849 6.44261 70.3857 7.03857 3.75387 9.00000 1.80000 0.848862 0.0278941
41033 4.60000 5.00000 9.10842 1.61539 5.13971e+19 1.48504e+19 1.49483e+07 781494. 8.81863 0.252025 2.31695 0.0727089 123.360 3.43851e+19 1.03155e+19 0.220733 0.0999259 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 5.28734 2.08808 6.25823 2.77128 3.80165 4.74889 0.474889 0.837110 0.0288760
41033 7.20000 5.00000 9.64289 2.20420 4.87408e+19 2.34803e+19 1.45054e+07 1.05656e+06 8.42839 0.154348 2.42332 0.0524042 121.830 3.48669e+19 1.04601e+19 0.221289 0.135389 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 4.49850 2.41117 9.61453 3.47836 3.83234 4.76101 0.476101 0.834332 0.0282328
40363 4.70000 1.00000 7.88410 1.23993 7.14242e+19 1.77006e+19 1.44848e+07 1.92024e+06 10.3208 0.297791 2.40937 0.0586035 129.291 3.48045e+19 1.04414e+19 0.250278 0.105042 0.00423807 0.000490011 0.0314717 0.00718799 0.00000 0.00000 0.00591609 2.72916e-05 0.0222463 0.000332600 0.00000 0.00000 8.14243 1.85058 10.4362 2.85366 3.70478 9.40986 0.940986 1.06889 0.0251888
40338 4.70000 1.00000 8.15922 1.66024 7.22740e+19 1.58766e+19 1.56558e+07 2.06119e+06 11.4701 0.455342 2.54594 0.0137728 134.188 3.54045e+19 1.06214e+19 0.248250 0.105224 0.00291024 0.000349470 0.0326177 0.00776523 0.00000 0.00000 0.00462874 2.53280e-05 0.0222497 0.000352950 0.00000 0.00000 8.76169 1.65427 9.31093 3.20950 3.64684 7.03637 0.703637 1.05725 0.0343830
40338 6.70000 1.00000 7.40061 0.805982 7.00014e+19 1.40014e+19 1.30706e+07 2.52740e+06 9.10992 0.428679 2.13280 0.0270697 124.000 3.35136e+19 1.00541e+19 0.249323 0.0939082 0.00351815 0.000410863 0.0209651 0.00459446 0.00000 0.00000 0.00446247 2.44307e-05 0.0193564 0.000220981 0.00000 0.00000 5.16945 1.45957 7.64881 2.95488 3.76663 6.33463 0.633463 1.05098 0.0331840
40363 6.70000 1.00000 5.02462 1.16532 8.85674e+19 1.46895e+19 1.13194e+07 2.84600e+06 8.19769 0.275332 2.08773 0.0238598 120.203 3.32924e+19 9.98771e+18 0.222406 0.0920492 0.00519546 0.000600443 0.0210937 0.00473761 0.00000 0.00000 0.00560821 2.75737e-05 0.0192968 0.000210975 0.00000 0.00000 2.30575 1.70451 5.60313 1.88258 3.83612 6.43702 0.643702 0.977725 0.0265892
41031 6.00000 1.00000 5.02995 1.59214 7.11446e+19 2.29325e+19 7.46366e+06 2.37944e+06 6.22732 0.171173 2.08836 0.0353570 108.736 3.32955e+19 9.98865e+18 0.197686 0.107206 0.00791966 0.00101881 0.00766674 0.00183938 0.00000 0.00000 0.00570964 5.74012e-05 0.0197680 0.000155991 0.00000 0.00000 1.49881 1.72763 3.77349 1.56143 3.98325 7.10320 0.710320 0.884771 0.0261504
41031 7.00000 1.00000 5.88327 1.43759 8.18648e+19 2.25341e+19 1.08960e+07 3.60989e+06 6.88120 0.290396 1.98999 0.0258194 113.250 3.28012e+19 9.84037e+18 0.259308 0.123131 0.00719620 0.000886995 0.00422965 0.00118870 0.00000 0.00000 0.00573322 3.76480e-05 0.00000 0.00000 0.00000 0.00000 -1.49368 2.41844 1.00154 2.02081 3.93334 7.00808 0.700808 0.808017 0.0273077
40363 5.70000 1.00000 2.85087 0.363178 5.84976e+19 5.36662e+18 3.39982e+06 521096. 6.41174 0.141323 1.90045 0.0247876 110.583 3.23364e+19 9.70092e+18 0.0932747 0.0315822 0.00610064 0.000766362 0.0243091 0.00577923 0.00000 0.00000 0.00577322 2.14290e-05 0.0207821 0.000228776 0.00000 0.00000 -6.84941 0.895586 4.04005 0.404005 3.98384 4.71100 0.471100 0.835569 0.0174549
40338 5.70000 1.00000 5.96889 1.31556 7.59982e+19 1.74337e+19 1.20359e+07 3.02157e+06 7.73891 0.328454 1.99129 0.0286691 116.827 3.28078e+19 9.84235e+18 0.236705 0.103502 0.00255305 0.000289320 0.0103683 0.00220350 0.00000 0.00000 0.00455967 2.04295e-05 0.0208629 0.000178113 0.00000 0.00000 5.66407 1.92280 8.61386 1.95702 3.84830 4.89886 0.489886 1.08012 0.0331840
39488 5.70000 2.00000 23.5967 2.76136 2.02913e+19 2.21386e+18 4.08360e+07 8.10339e+06 6.10857 0.430087 0.774541 0.0134619 106.634 2.44822e+19 7.34465e+18 0.366814 0.124716 0.00000 0.00000 0.00000 0.00000 0.00115386 0.000268727 0.00000 0.00000 0.00000 0.00000 0.00229311 0.00165625 15.3834 1.91886 16.6001 2.57973 3.96096 5.37869 0.537869 0.950541 0.0302189
